day,post_type,caption,hashtags,image_description,cta
1,feed,"✨ Bem-vindo ao mundo das fragrâncias árabes de luxo.

Há mais de mil anos, o Oud perfumou os palácios dos califas e os rituais das famílias reais do Médio Oriente. 

Hoje, trazemos essa herança preciosa para Portugal — pura, autêntica, inigualável.

Uma gota de Oud conta mais histórias do que qualquer perfume que já usaste.

Descobre a nossa coleção. Link na bio.","#ArabianPerfume #OudOil #LuxuryFragrance #Attar #Bakhoor #PerfumePortugal #LuxoPortugal #NaturalPerfume #AlcoholFreePerfume #MiddleEasternFragrance #FragranciaArabe #PerfumeLuxo #OudPortugal #FragranciaOriental #PerfumeNatural #FragranciaLuxo #LuxuryPerfume #PerfumeOleo #ArabicPerfume #OrientalFragrance #OudWood #AgarwoodOil #NicheFragrance #PerfumeCommunity #FragranciaUnica","Luxury oud oil bottle on black marble with gold Arabic calligraphy in background, soft candlelight","Link na bio"
2,reel,"🏺 O que é o Oud? O ouro líquido do Médio Oriente.

Existem fragrâncias. E depois existe o Oud.

Extraído da madeira preciosa de Agarwood — mais raro que o ouro — o Oud é a base das perfumarias reais há séculos.

O nosso Oud Puro é autêntico, sem diluições, sem álcool. Cada gota dura 12+ horas na pele.

Experimenta o luxo que a realeza árabe usou durante milénios. 🛒 Link na bio.","#OudOil #WhatIsOud #ArabianPerfume #LuxuryFragrance #AgarwoodOil #OudExplained #NaturalPerfume #PerfumeEducation #FragranceCommunity #OudWood #LuxuryOud #PureOud #OudPortugal #FragranciaArabe #PerfumeLuxo #OrientalFragrance #MiddleEasternFragrance #AlcoholFreePerfume #NicheFragrance #PerfumeCommunity #ArabicPerfume #OudLovers #FragranceLovers #LuxuryLifestyle","Short reel: close-up of oud wood chips, then oud oil bottle being opened, then dropper on wrist","Guarda este vídeo!"
3,feed,"🌿 Sem álcool. Sem compromissos. Só pureza.

Os attars tradicionais árabes são perfumes 100% naturais em base de óleo — sem álcool, sem sintéticos, sem compromissos.

Duram 8-12 horas na pele. Evoluem ao longo do dia, revelando camadas de complexidade.

Para quem quer o melhor da natureza, não das fábricas.

Descobre a nossa coleção de attars. Link na bio. ⬇️","#Attar #NaturalPerfume #AlcoholFreePerfume #ArabianPerfume #LuxuryFragrance #PerfumeNatural #FragranciaArabe #PerfumeOleo #OrientalFragrance #MiddleEasternFragrance #AttarOil #PerfumeSemAlcool #FragranciaLuxo #NaturalFragrance #PureFragrance #PerfumeCommunity #NicheFragrance #LuxuryPerfume #FragranciaOriental #PerfumePortugal #OudOil #ArabicPerfume #BottanicalFragrance #CleanBeauty","Flat lay of attar bottles on marble with dried flowers and gold accents, warm lighting","Link na bio"
4,reel,"🔥 Bakhoor: O ritual de hospitalidade árabe que vais querer adoptar.

Quando entras numa casa árabe, o primeiro sentido que é saudado é o olfacto.

O Bakhoor — incenso de madeira impregnado com oud e resinas — cria uma atmosfera incomparável.

30 segundos e a tua casa transforma-se. Mostro-te como usar. ▶️","#Bakhoor #ArabianIncense #HomeFragrance #LuxuryHome #ArabianPerfume #OudIncense #MiddleEasternFragrance #HomeLuxury #FragranciaArabe #InclensaLuxo #BakhoorTutorial #ArabicTradition #HomeRitual #LuxuryLifestyle #OrientalFragrance #NaturalIncense #FragranciaOriental #PerfumeCommunity #ArabicHome #LuxuryHomeDecor","Reel: hands placing bakhoor on lit charcoal in ornate burner, smoke rising gracefully in slow motion","Guarda para usar em casa!"
5,feed,"👑 O segredo de cheiro das famílias reais do Golfo.

No Qatar, nos Emirados, na Arábia Saudita — as famílias reais usam Oud não por moda, mas por tradição.

Um presente de Oud é um presente de respeito e de luxury.

É a fragrância que não precisas de explicar — as pessoas simplesmente perguntam: 'O que é esse cheiro?'

Esse cheiro agora está em Portugal. 🇵🇹 Link na bio.","#ArabianRoyalty #OudOil #LuxuryFragrance #ArabianPerfume #RoyalFragrance #LuxuryGift #LuxoPortugal #PerfumeLuxo #FragranciaArabe #OudPortugal #MiddleEasternFragrance #NicheFragrance #LuxuryPerfume #GiftIdea #PresentiLuxo #ArabicPerfume #OrientalFragrance #FragranciaLuxo #PerfumeCommunity #LuxuryLifestyle","Dark luxury flat lay: oud bottle with Arabic calligraphy card, rose petals, gold ribbon","Link na bio"
6,reel,"❓ Qual é a diferença entre Oud, Attar e Bakhoor? (30 segundos)

Oud = Óleo puro de madeira agarwood. Para a pele.
Attar = Perfume árabe em base de óleo. Para a pele.
Bakhoor = Incenso de luxo. Para o espaço.

Cada um com a sua magia. Todos 100% naturais. Todos sem álcool.

Qual experimentes primeiro? Diz-me nos comentários! ⬇️","#OudVsAttar #Bakhoor #ArabianFragrance #PerfumeEducation #NaturalPerfume #AlcoholFreePerfume #FragranciaArabe #ArabianPerfume #LuxuryFragrance #OrientalFragrance #PerfumeGuide #FragranceExplained #NicheFragrance #PerfumeCommunity #OudOil #AttarOil #ArabicPerfume #MiddleEasternFragrance #LuxuryLifestyle #FragranciaOriental","Split screen reel showing: oud oil drop on skin / attar bottle opened / bakhoor smoke rising","Comenta abaixo!"
7,feed,"🕌 Sexta-Feira. O dia mais sagrado. O melhor dia para usar oud.

Na tradição islâmica, sexta-feira é o dia da oração e da purificação. O oud é usado para limpar o espaço e elevar o espírito.

Seja qual for a tua fé — há algo de transformador em começar o dia com uma fragrância que carrega séculos de intenção.

Bom fim-de-semana. ✨","#JumahMubarak #Friday #OudOil #ArabianTradition #ArabianPerfume #LuxuryFragrance #IslamicArt #MiddleEasternCulture #FragranciaArabe #PerfumeLuxo #OrientalFragrance #Spirituality #ArabicTradition #NaturalPerfume #FragranceCommunity #MuslimLifestyle #OudLovers #LuxuryLifestyle #PerfumeCommunity #WeekendVibes","Elegant mosque silhouette at golden hour, oud oil bottle in foreground with warm bokeh lights","Partilha com quem amas ✨"
8,carousel,"💧 Como aplicar Attar para durar o dia inteiro.

Slide 1: O segredo dos perfumistas árabes
Slide 2: Pontos quentes do corpo (pulso, pescoço, cotovelo)
Slide 3: Nunca esfregues — deixa secar naturalmente
Slide 4: Camadas (base de óleo + attar = duração dupla)
Slide 5: Guarda longe da luz e do calor
Slide 6: Uma única gota é suficiente

Guarda este post para não esquecer! 💾","#AttarTips #PerfumeTips #ArabianPerfume #NaturalPerfume #AlcoholFreePerfume #PerfumeEducation #FragranceHacks #OudOil #LuxuryFragrance #FragranciaArabe #PerfumePortugal #AttarOil #PerfumeSemAlcool #FragranciaLuxo #NicheFragrance #PerfumeCommunity #ArabicPerfume #LuxuryLifestyle #BeautyTips #PerfumeLovers","Carousel: 6 slides with illustrated perfume application guide, black and gold aesthetic","Guarda este post!"
9,feed,"🌙 A fragrância que usas à noite diz tudo sobre quem és.

O dia pede leveza. A noite pede profundidade.

O nosso Oud Noturno — uma mistura de oud puro com âmbar e sândalo — foi criado para as noites em que queres ser inesquecível.

A fragrância que fica na memória muito depois de saíres da sala.

Disponível na loja. Link na bio.","#NightFragrance #OudOil #LuxuryPerfume #EveningFragrance #ArabianPerfume #AmberFragrance #Sandalwood #LuxuryFragrance #FragranciaNoite #PerfumeLuxo #OrientalFragrance #NicheFragrance #MiddleEasternFragrance #FragranciaArabe #ArabicPerfume #NaturalPerfume #EveningLooks #LuxuryLifestyle #PerfumeCommunity #FragranceLovers","Dark, moody flatlay: oud bottle on dark wood with amber crystals and rose petals under candlelight","Descobre na loja. Link na bio."
10,reel,"📦 Unboxing: A primeira vez que abres uma caixa de Oud puro.

Há algo de ritual neste momento.

A caixa negra. O tecido dourado. A garrafa. E então — o cheiro.

É difícil descrever o que é o Oud puro pela primeira vez. É quente, profundo, amadeirado, animal, sagrado.

A tua nariz nunca mais será o mesmo. 🙏","#Unboxing #OudOil #LuxuryUnboxing #ArabianPerfume #PureOud #LuxuryFragrance #FragranciaArabe #PerfumeLuxo #OudLovers #FragranceUnboxing #NicheFragrance #LuxuryPackaging #ArabicPerfume #MiddleEasternFragrance #OrientalFragrance #PerfumeCommunity #LuxuryLifestyle #FragranceLovers #OudWood #ScentOfTheDay","Reel: slow-motion unboxing of luxury black and gold oud oil packaging, close-ups of bottle details","Partilha com quem merece este presente!"
