pin_number,board,title,description,image_description,link_path,keywords
1,Fragrâncias Árabes de Luxo,Oud Oil Puro — O Ouro Líquido do Médio Oriente,"Descobre o Oud Oil — a fragrância mais preciosa do mundo. Mais rara que o ouro, usada pelas famílias reais árabes há 3000 anos. 100% natural, sem álcool, dura 12+ horas na pele. Disponível em Portugal. | luxury arabian perfume | oud oil portugal | natural fragrance | alcohol free perfume",Luxury dark bottle of oud oil on black marble with Arabic calligraphy in background and dramatic lighting,/products#oud-puro,"oud oil, luxury arabian perfume, natural fragrance, alcohol free perfume, Middle Eastern perfume"
2,Oud Oil — O Ouro Líquido,Como Usar Oud Oil — Guia Completo para Iniciantes,"Aprende a aplicar Oud Oil correctamente para máxima duração e impacto. Pontos de pulsação, temperatura, camadas — o guia dos perfumistas árabes. Attar e oud: a diferença que vai mudar a forma como uses perfume. | oud oil guide | how to apply oud | natural perfume portugal",Step by step illustrated guide showing oud oil application on wrist pulse points with gold accents,/blog/como-usar-oud,"how to apply oud, oud oil guide, natural perfume tips, arabian fragrance"
3,Fragrâncias Árabes de Luxo,Attar Árabe — Perfume Natural Sem Álcool,"O Attar é a tradição perfumista árabe de 1000 anos: perfume puro em base de óleo, sem álcool, sem sintéticos. Dura 8-12 horas. Evolui com a tua química corporal. Descobre a diferença. | attar perfume | natural perfume | alcohol free perfume | arabian perfume portugal",Elegant attar bottle on white marble surrounded by rose petals with golden warm lighting,/products#attar-colecao,"attar perfume, natural perfume, alcohol free perfume, arabian attar oil"
4,Rituais de Luxo em Casa,Bakhoor — Como Transformar a Tua Casa num Palácio Árabe,"O Bakhoor é o incenso árabe de luxo que transforma qualquer espaço em segundos. Agarwood, rosas e âmbar combinados — o segredo dos hotéis 5 estrelas e das famílias reais do Golfo. Tutorial completo incluído. | bakhoor | home fragrance | arabian incense | luxury home",Beautiful living room with ornate silver bakhoor burner with smoke rising, warm amber lighting and plush cushions,/products#bakhoor,"bakhoor, arabian incense, home fragrance, luxury home scent, how to use bakhoor"
5,Presentes de Luxo,Presente de Luxo Árabe — Embalagem Premium,"O presente perfeito para quem já tem tudo. Fragrâncias árabes autênticas em embalagem de luxo — Oud, Attar ou Bakhoor. A experiência olfativa mais memorável que podes oferecer. Entrega em Portugal. | luxury gift | arabian perfume gift | unique gift portugal",Black luxury gift box with gold ribbon partially open showing oud oil bottle inside, elegant styling,/products,"luxury gift, arabian perfume gift, unique gift portugal, luxury present"
6,Perfumes Sem Álcool,Por Que os Perfumes Árabes Duram 3x Mais,"A ciência por detrás da duração extraordinária dos attars e ouds árabes. Óleo vs álcool: a diferença que a indústria ocidental não te conta. Guia comparativo completo. | alcohol free perfume | long lasting perfume | natural fragrance | attar vs perfume",Infographic style pin: two perfume bottles side by side with duration comparison, clean modern design,/blog/porque-oud-dura-mais,"alcohol free perfume, long lasting perfume, natural fragrance facts, attar guide"
7,Arabian Perfumes,A História do Oud — 3000 Anos de Luxo,"Do Templos da Índia Antiga aos palácios do Dubai moderno — a história fascinante do Oud, a fragrância mais preciosa do mundo. Descobre a origem e significado cultural desta tradição milenar. | oud history | arabian fragrance history | agarwood | luxury perfume",Artistic vintage-map style pin with Silk Road route and oud wood illustration, sepia tones and gold details,/blog/historia-do-oud,"oud history, arabian fragrance, agarwood history, Middle Eastern perfume culture"
8,Fragrâncias Árabes de Luxo,Oud vs Attar vs Bakhoor — Qual Escolher?,"Guia visual definitivo: as 3 grandes categorias de fragrâncias árabes explicadas. Qual é a diferença? Para quem é cada um? Qual começar? Resposta clara em 60 segundos. | oud vs attar | bakhoor guide | arabian fragrance types | natural perfume",Three product category flat lay: oud bottle, attar bottle, bakhoor chips - each clearly labeled with descriptions,/blog/guia-fragrancias-arabes,"oud vs attar, bakhoor explained, arabian fragrance guide, which to choose"
9,Rituais de Luxo em Casa,5 Rituais Árabes com Bakhoor para Adoptar Hoje,"Os rituais de bem-estar mais luxuosos do Médio Oriente, adaptados para a vida moderna em Portugal. Hospitalidade, meditação, sono, celebração — o Bakhoor como chave para cada momento. | bakhoor ritual | arabian home ritual | luxury wellness | home fragrance routine",Beautiful flat lay of bakhoor ritual setup: ornate burner, chips, charcoal, candle - all on moroccan tiled surface,/blog/rituais-bakhoor,"bakhoor ritual, arabian home fragrance, luxury wellness ritual, home scent routine"
10,Perfumes Sem Álcool,Guia de Attars — As Melhores Fragrâncias Sem Álcool 2026,"Os melhores attars árabes disponíveis em Portugal: Rosa & Oud, Âmbar, Sândalo, Musk Branco. Comparação completa com notas olfativas, duração e perfil de uso. Ideal para pele sensível. | attar guide 2026 | best alcohol free perfume | natural perfume portugal | arabian attar",Elegant comparison chart of attar fragrances with fragrance wheel and bottle photography,/products#attar-colecao,"best attar perfume, alcohol free perfume guide, natural perfume comparison, arabian attar review"
