recipe_page,product_name,asin,category,placement,price_approx
budget-chicken-recipes.html,Lodge 12in Cast Iron Skillet,B00006JSUB,cooking-tool,featured,$35
budget-chicken-recipes.html,Nordic Ware Half Sheet Pan,B000G0KJG4,cooking-tool,featured,$25
budget-chicken-recipes.html,ThermoPro Meat Thermometer,B01IHHLB3W,cooking-tool,featured,$12
budget-chicken-recipes.html,Victorinox 8in Chefs Knife,B0019WXIDO,cooking-tool,featured,$35
budget-chicken-recipes.html,Glass Meal Prep Containers,B01N6A5JZ7,storage,featured,$28
budget-chicken-recipes.html,Pyrex 3-pc Glass Baking Set,B00F23EDLK,cooking-tool,featured,$30
budget-chicken-recipes.html,Cuisinart 12in Nonstick Skillet,B07QQ8YTFW,cooking-tool,tools-bottom,$38
budget-chicken-recipes.html,OXO Good Grips 12in Tongs,B00004OCKQ,cooking-tool,tools-bottom,$12
budget-chicken-recipes.html,Silicone Spatula Set 6pc,B07DNXKRMM,cooking-tool,tools-bottom,$15
budget-chicken-recipes.html,OXO Measuring Cup Set,B0000CFT9Q,cooking-tool,tools-bottom,$15
budget-chicken-recipes.html,Instant Pot Duo 6qt,B00FLYWNYQ,appliance,tools-bottom,$80
budget-chicken-recipes.html,Budget Bytes Cookbook,B00OGKJHQ0,cookbook,tools-bottom,$16
budget-ground-beef-recipes.html,Ground Meat Chopper Tool,B00UXIO9U8,cooking-tool,featured,$10
budget-ground-beef-recipes.html,Lodge 12in Cast Iron Skillet,B00006JSUB,cooking-tool,featured,$35
budget-ground-beef-recipes.html,Victorinox 8in Chefs Knife,B0019WXIDO,cooking-tool,featured,$35
budget-ground-beef-recipes.html,Pyrex Glass Baking Dish Set,B00F23EDLK,cooking-tool,featured,$30
budget-ground-beef-recipes.html,Glass Meal Prep Containers,B01N6A5JZ7,storage,featured,$28
budget-ground-beef-recipes.html,OXO Digital Kitchen Scale,B0007GAWRS,cooking-tool,featured,$50
budget-ground-beef-recipes.html,Fat Separator Pitcher,B00MVVIF0G,cooking-tool,tools-bottom,$12
budget-ground-beef-recipes.html,OXO Measuring Cup Set,B0000CFT9Q,cooking-tool,tools-bottom,$15
budget-ground-beef-recipes.html,Silicone Spatula Set 6pc,B07DNXKRMM,cooking-tool,tools-bottom,$15
budget-ground-beef-recipes.html,OXO Good Grips Colander 5qt,B00B4CJNVE,cooking-tool,tools-bottom,$20
budget-ground-beef-recipes.html,Barilla Pasta Variety 4-pack,B00RSBQRDC,pantry,tools-bottom,$10
budget-ground-beef-recipes.html,Crock-Pot 6qt Slow Cooker,B003HNLSLE,appliance,tools-bottom,$35
budget-meal-prep-chicken.html,Glass Meal Prep Containers,B01N6A5JZ7,storage,featured,$28
budget-meal-prep-chicken.html,Instant Pot Duo 6qt,B00FLYWNYQ,appliance,featured,$80
budget-meal-prep-chicken.html,Lodge 12in Cast Iron Skillet,B00006JSUB,cooking-tool,featured,$35
budget-meal-prep-chicken.html,Nordic Ware Half Sheet Pan,B000G0KJG4,cooking-tool,featured,$25
budget-meal-prep-chicken.html,OXO Digital Kitchen Scale,B0007GAWRS,cooking-tool,featured,$50
budget-meal-prep-chicken.html,ThermoPro Meat Thermometer,B01IHHLB3W,cooking-tool,featured,$12
budget-meal-prep-chicken.html,Rubbermaid Brilliance 10pc Set,B074ZJ9PBN,storage,tools-bottom,$35
budget-meal-prep-chicken.html,Ziploc Gallon Freezer Bags 30ct,B00NH7V9IU,storage,tools-bottom,$8
budget-meal-prep-chicken.html,OXO Good Grips Food Scale,B0007GAWRS,cooking-tool,tools-bottom,$50
budget-meal-prep-chicken.html,Silicone Spatula Set 6pc,B07DNXKRMM,cooking-tool,tools-bottom,$15
budget-meal-prep-chicken.html,Meal Prep Complete Guide Cookbook,B077BQRLT3,cookbook,tools-bottom,$15
budget-meal-prep-chicken.html,OXO Measuring Cup Set,B0000CFT9Q,cooking-tool,tools-bottom,$15
budget-slow-cooker-recipes.html,Crock-Pot 6qt Slow Cooker,B003HNLSLE,appliance,featured,$35
budget-slow-cooker-recipes.html,Instant Pot Duo 6qt,B00FLYWNYQ,appliance,featured,$80
budget-slow-cooker-recipes.html,Glass Meal Prep Containers,B01N6A5JZ7,storage,featured,$28
budget-slow-cooker-recipes.html,Victorinox 8in Chefs Knife,B0019WXIDO,cooking-tool,featured,$35
budget-slow-cooker-recipes.html,OXO Digital Kitchen Scale,B0007GAWRS,cooking-tool,featured,$50
budget-slow-cooker-recipes.html,ThermoPro Meat Thermometer,B01IHHLB3W,cooking-tool,featured,$12
budget-slow-cooker-recipes.html,OXO Measuring Cup Set,B0000CFT9Q,cooking-tool,tools-bottom,$15
budget-slow-cooker-recipes.html,OXO Good Grips 12in Tongs,B00004OCKQ,cooking-tool,tools-bottom,$12
budget-slow-cooker-recipes.html,Silicone Spatula Set 6pc,B07DNXKRMM,cooking-tool,tools-bottom,$15
budget-slow-cooker-recipes.html,Barilla Pasta Variety 4-pack,B00RSBQRDC,pantry,tools-bottom,$10
budget-slow-cooker-recipes.html,Rubbermaid Brilliance 10pc Set,B074ZJ9PBN,storage,tools-bottom,$35
budget-slow-cooker-recipes.html,Slow Cooker Revolution Cookbook,B009ICSJ8Y,cookbook,tools-bottom,$22
cheap-pasta-dishes-for-students.html,Barilla Pasta Variety 4-pack,B00RSBQRDC,pantry,featured,$10
cheap-pasta-dishes-for-students.html,Victorinox 8in Chefs Knife,B0019WXIDO,cooking-tool,featured,$35
cheap-pasta-dishes-for-students.html,OXO Good Grips Colander 5qt,B00B4CJNVE,cooking-tool,featured,$20
cheap-pasta-dishes-for-students.html,OXO 3-pc Mixing Bowl Set,B01FXN8DIS,cooking-tool,featured,$30
cheap-pasta-dishes-for-students.html,Glass Meal Prep Containers,B01N6A5JZ7,storage,featured,$28
cheap-pasta-dishes-for-students.html,4-Sided Box Grater,B00000JJOP,cooking-tool,featured,$15
cheap-pasta-dishes-for-students.html,Sistema Microwave Pasta Cooker,B07G1N1HVK,cooking-tool,tools-bottom,$12
cheap-pasta-dishes-for-students.html,Lodge 12in Cast Iron Skillet,B00006JSUB,cooking-tool,tools-bottom,$35
cheap-pasta-dishes-for-students.html,Rubbermaid Brilliance 10pc Set,B074ZJ9PBN,storage,tools-bottom,$35
cheap-pasta-dishes-for-students.html,OXO Measuring Cup Set,B0000CFT9Q,cooking-tool,tools-bottom,$15
cheap-pasta-dishes-for-students.html,OXO Measuring Spoon Set,B00M4LVS14,cooking-tool,tools-bottom,$12
cheap-pasta-dishes-for-students.html,Budget Bytes Cookbook,B00OGKJHQ0,cookbook,tools-bottom,$16
kitchen-essentials.html,Lodge 12in Cast Iron Skillet,B00006JSUB,cooking-tool,starter-kit,$35
kitchen-essentials.html,Victorinox 8in Chefs Knife,B0019WXIDO,cooking-tool,starter-kit,$35
kitchen-essentials.html,Nordic Ware Half Sheet Pan,B000G0KJG4,cooking-tool,starter-kit,$25
kitchen-essentials.html,ThermoPro Meat Thermometer,B01IHHLB3W,cooking-tool,starter-kit,$12
kitchen-essentials.html,Glass Meal Prep Containers,B01N6A5JZ7,storage,starter-kit,$28
kitchen-essentials.html,Bamboo Cutting Board Set,B08G22BJYC,cooking-tool,starter-kit,$25
kitchen-essentials.html,Cuisinart 12in Nonstick Skillet,B07QQ8YTFW,cooking-tool,comparison-table,$38
kitchen-essentials.html,Pyrex 3-pc Glass Baking Set,B00F23EDLK,cooking-tool,comparison-table,$30
kitchen-essentials.html,Crock-Pot 6qt Slow Cooker,B003HNLSLE,appliance,comparison-table,$35
kitchen-essentials.html,Instant Pot Duo 6qt,B00FLYWNYQ,appliance,comparison-table,$80
kitchen-essentials.html,Ground Meat Chopper Tool,B00UXIO9U8,cooking-tool,small-tools,$10
kitchen-essentials.html,Silicone Spatula Set 6pc,B07DNXKRMM,cooking-tool,small-tools,$15
kitchen-essentials.html,OXO Good Grips 12in Tongs,B00004OCKQ,cooking-tool,small-tools,$12
kitchen-essentials.html,OXO Measuring Cup Set,B0000CFT9Q,cooking-tool,small-tools,$15
kitchen-essentials.html,OXO Measuring Spoon Set,B00M4LVS14,cooking-tool,small-tools,$12
kitchen-essentials.html,OXO Good Grips Colander 5qt,B00B4CJNVE,cooking-tool,small-tools,$20
kitchen-essentials.html,OXO Can Opener,B0002IHMCU,cooking-tool,small-tools,$12
kitchen-essentials.html,OXO 3-pc Mixing Bowl Set,B01FXN8DIS,cooking-tool,small-tools,$30
kitchen-essentials.html,Bamboo Cutting Board Set,B08G22BJYC,cooking-tool,small-tools,$25
kitchen-essentials.html,4-Sided Box Grater,B00000JJOP,cooking-tool,small-tools,$15
kitchen-essentials.html,OXO Digital Kitchen Scale,B0007GAWRS,cooking-tool,small-tools,$50
kitchen-essentials.html,Budget Bytes Cookbook,B00OGKJHQ0,cookbook,cookbooks,$16
kitchen-essentials.html,Meal Prep Complete Guide,B077BQRLT3,cookbook,cookbooks,$15
kitchen-essentials.html,Complete Cooking for Two,B00KLTU47A,cookbook,cookbooks,$22
kitchen-essentials.html,Slow Cooker Revolution,B009ICSJ8Y,cookbook,cookbooks,$22
kitchen-essentials.html,Barilla Pasta Variety 4-pack,B00RSBQRDC,pantry,bulk-staples,$10
kitchen-essentials.html,Mahatma White Rice 5lb Bag,B076ZXS3C7,pantry,bulk-staples,$8
kitchen-essentials.html,Rubbermaid Brilliance 10pc Set,B074ZJ9PBN,storage,meal-prep-containers,$35
kitchen-essentials.html,Ziploc Gallon Freezer Bags 30ct,B00NH7V9IU,storage,meal-prep-containers,$8
